OBJECTID,FIPS,COUNTY,STATE,POP2020,SQMI,Id,Country code,ENRICH_FID,Aggregation method,Population to polygon size rating for the country,Apportionment confidence for the country,Has data,2021 Education,2021 Avg: Education,2021 Index: Education,2021 Health Care,2021 Index: Health Care,2021 Avg: Health Care,2021 HH Operations,2021 Avg: HH Operations,2021 Index: HH Operations,2021 Total Crime Aggregate,2021 Personal Crime Aggregate,2021 Murder Aggregate,2021 Rape Aggregate,2021 Robbery Aggregate,2021 Assault Aggregate,2021 Property Crime Aggregate,2021 Burglary Aggregate,2021 Larceny Aggregate,2021 Motor Vehicle Theft Aggregate,2021 Total Crime Index,2021 Personal Crime Index,2021 Murder Index,2021 Rape Index,2021 Robbery Index,2021 Assault Index,2021 Property Crime Index,2021 Burglary Index,2021 Larceny Index,2021 Motor Vehicle Theft Index,Invalid1,Invalid2
219,06073010010,San Diego County,CA,5588,0.45000000,18,US,219,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.19100000,2.57600000,1,1704489.00000000,1017.61000000,59.00000000,6982921.00000000,67.00000000,4168.91000000,2492097.00000000,1487.82000000,67.00000000,449292.00000000,804666.00000000,622092.00000000,747567.00000000,540951.00000000,920961.00000000,392466.00000000,365103.00000000,315798.00000000,1011315.00000000,82.00000000,148.00000000,114.00000000,137.00000000,99.00000000,169.00000000,72.00000000,67.00000000,58.00000000,186.00000000,,
220,06073010011,San Diego County,CA,3713,0.34000000,19,US,220,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.19100000,2.57600000,1,1566574.00000000,1710.23000000,99.00000000,4791751.00000000,84.00000000,5231.17000000,2007220.00000000,2191.29000000,99.00000000,416476.00000000,754403.00000000,576138.00000000,800780.00000000,526261.00000000,840669.00000000,363455.00000000,289953.00000000,294688.00000000,1006476.00000000,114.00000000,206.00000000,157.00000000,219.00000000,144.00000000,230.00000000,99.00000000,79.00000000,80.00000000,275.00000000,,
221,06073010012,San Diego County,CA,4835,0.24000000,20,US,221,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.19100000,2.57600000,1,1351914.00000000,1104.50000000,64.00000000,4498236.00000000,59.00000000,3675.03000000,1684121.00000000,1375.92000000,62.00000000,459221.00000000,788078.00000000,662270.00000000,587162.00000000,700002.00000000,860124.00000000,405816.00000000,456573.00000000,254948.00000000,1453064.00000000,98.00000000,169.00000000,142.00000000,126.00000000,150.00000000,184.00000000,87.00000000,98.00000000,55.00000000,312.00000000,,
222,06073010013,San Diego County,CA,5432,0.35000000,21,US,222,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.19100000,2.57600000,1,1346539.00000000,942.29000000,55.00000000,5054260.00000000,57.00000000,3536.92000000,1864222.00000000,1304.56000000,59.00000000,1010931.00000000,1690533.00000000,1314510.00000000,1150857.00000000,1701744.00000000,1783413.00000000,897615.00000000,726189.00000000,771159.00000000,2209773.00000000,187.00000000,313.00000000,243.00000000,213.00000000,315.00000000,330.00000000,166.00000000,134.00000000,143.00000000,409.00000000,,
223,06073010015,San Diego County,CA,4180,15.63000000,22,US,223,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.19100000,2.57600000,1,2052127.00000000,2077.05000000,120.00000000,6276935.00000000,102.00000000,6353.17000000,2629349.00000000,2661.28000000,120.00000000,925494.00000000,993110.00000000,485990.00000000,283142.00000000,1580524.00000000,891686.00000000,917042.00000000,367662.00000000,883234.00000000,2205972.00000000,219.00000000,235.00000000,115.00000000,67.00000000,374.00000000,211.00000000,217.00000000,87.00000000,209.00000000,522.00000000,,
224,06073010103,San Diego County,CA,6183,1.94000000,23,US,224,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.19100000,2.57600000,1,2190838.00000000,1212.42000000,70.00000000,7174183.00000000,64.00000000,3970.22000000,2708630.00000000,1498.97000000,68.00000000,577366.00000000,788924.00000000,502101.00000000,185067.00000000,1020892.00000000,801259.00000000,541857.00000000,535812.00000000,409187.00000000,1549262.00000000,94.00000000,129.00000000,82.00000000,30.00000000,166.00000000,131.00000000,88.00000000,87.00000000,67.00000000,253.00000000,,
225,06073010104,San Diego County,CA,3291,0.62000000,24,US,225,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.19100000,2.57600000,1,1780096.00000000,1726.57000000,100.00000000,4937686.00000000,77.00000000,4789.22000000,1997315.00000000,1937.26000000,88.00000000,232166.00000000,389341.00000000,221911.00000000,717550.00000000,133926.00000000,439055.00000000,206198.00000000,222771.00000000,178182.00000000,408628.00000000,72.00000000,120.00000000,68.00000000,221.00000000,41.00000000,135.00000000,64.00000000,69.00000000,55.00000000,126.00000000,,
226,06073010106,San Diego County,CA,5303,0.52000000,25,US,226,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.19100000,2.57600000,1,1493504.00000000,1009.12000000,58.00000000,5425173.00000000,59.00000000,3665.66000000,2032401.00000000,1373.24000000,62.00000000,690679.00000000,1040075.00000000,822386.00000000,798459.00000000,822038.00000000,1169067.00000000,636259.00000000,505971.00000000,568155.00000000,1401211.00000000,133.00000000,201.00000000,159.00000000,154.00000000,159.00000000,225.00000000,123.00000000,98.00000000,110.00000000,270.00000000,,
227,06073010107,San Diego County,CA,6757,0.90000000,26,US,227,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.19100000,2.57600000,1,2625864.00000000,1498.78000000,87.00000000,8031851.00000000,74.00000000,4584.39000000,3364467.00000000,1920.36000000,87.00000000,625284.00000000,885507.00000000,663492.00000000,713276.00000000,772298.00000000,961172.00000000,581417.00000000,561808.00000000,468700.00000000,1496621.00000000,94.00000000,133.00000000,100.00000000,107.00000000,116.00000000,144.00000000,87.00000000,84.00000000,70.00000000,225.00000000,,
228,06073010109,San Diego County,CA,4698,4.99000000,27,US,228,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.19100000,2.57600000,1,2140169.00000000,1832.34000000,106.00000000,6546232.00000000,90.00000000,5604.65000000,2742155.00000000,2347.74000000,106.00000000,357512.00000000,628880.00000000,404492.00000000,797636.00000000,130752.00000000,802272.00000000,315168.00000000,446296.00000000,221424.00000000,761760.00000000,77.00000000,136.00000000,87.00000000,172.00000000,28.00000000,173.00000000,68.00000000,96.00000000,48.00000000,164.00000000,,
